¿Cuál es el ingreso mensual aproximado de tu familia?  ,¿Trabajas actualmente o planeas trabajar mientras estudias?  ,¿Cuentas con equipo de cómputo y conexión a internet estables para estudiar? ,¿Cuántas personas dependen económicamente del ingreso familiar?,¿Tu familia apoya tu decisión de estudiar esta carrera?  ,¿Cuál fue tu promedio general en el bachillerato/preparatoria? ,"¿Cuál es tu nivel en matemáticas (álgebra lineal, cálculo, estadística) ",¿Has llevado cursos de programación o tienes conocimientos previos en tecnología? ,¿Cómo calificas tu hábito de estudio y organización académica? ,¿Has reprobado materias en lo que llevas de tu Licenciatura?,¿Cómo describirías tu estado emocional y manejo del estrés actualmente? ,"¿Cuentas con una red de apoyo (familia, amigos) que te respalde emocionalmente? ",¿Cómo manejas la frustración cuando algo no te sale bien académicamente? ,"¿Tienes responsabilidades de cuidado de otras personas (hijos, familiares, etc.)? ", ¿Cómo describirías tu nivel de motivación y energía en general?  , ¿Por qué elegiste la Licenciatura en Ciencias de Datos para Negocios?  ,¿Qué tan informado/a estás sobre el plan de estudios y campo laboral de esta carrera?  , ¿Qué tan seguro estás de que esta carrera se alinea con tus habilidades e intereses?  ,¿Has considerado estudiar otra carrera además de esta? ,¿Tienes claridad sobre qué quieres hacer profesionalmente después de graduarte? ,  ¿A qué distancia (tiempo de traslado) vives de la universidad?  ,¿Qué horario prefieres o te acomoda más para estudiar? ,"¿Conoces los servicios de apoyo que ofrece la universidad (tutorías, asesorías, apoyo psicológico, becas)? ",¿Qué tan importante es para ti terminar la carrera en el tiempo establecido (8 semestres)? ,"Si tuvieras dificultades académicas durante la carrera, ¿qué tan probable es que busques ayuda?  "
"$3,000 - $5,000 MXN","No trabajo, pero podría si es necesario","Equipo limitado pero funcional, internet regular",1-2 personas,"Sí, me apoyan emocionalmente",Menos de 8.0,Bajo (he reprobado o tenido problemas),Solo introducción básica,"Regular, a veces me cuesta organizarme",Reprobé 1 materia,"Mal, frecuentemente me siento abrumado/a","Sí, pero limitado","Mal, me desanimo fácilmente",Responsabilidades moderadas,"Bajo, me cuesta motivarme",Tiene buena demanda laboral y salarios atractivos,"Algo informado/a, tengo idea básica","Moderadamente seguro/a, creo que sí","No, esta es mi única opción y estoy comprometido/a","Algo de claridad, aún lo estoy definiendo",1 a 1.5 horas,Matutino (me acomoda perfectamente),Conozco pocos o casi ninguno,"Importante, lo prefiero pero puedo ser flexible","Tal vez, dependiendo de la situación"
"Más de $20,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)","Sí, equipo funcional e internet estable",4 personas,"Sí, me apoyan emocionalmente",Menos de 8.0,Regular (apruebo pero me cuesta trabajo),Solo introducción básica,"Bueno, generalmente cumplo con mis responsabilidades",Nunca he reprobado,"Bien, ocasionalmente me estreso pero lo controlo","Sí, pero limitado","Bien, me recupero rápido y sigo intentando",Responsabilidades mínimas/ocasionales,"Alto, tengo buena motivación",Me interesa mucho y veo gran futuro profesional,"Algo informado/a, tengo idea básica","Muy seguro/a, coincide bastante","Sí, tengo una segunda opción en mente","Sí, tengo una idea general del área",30 minutos a 1 hora,Matutino (me acomoda perfectamente),"Sí, los conozco bien y estoy dispuesto/a a usarlos","Muy importante, es una prioridad","Probable, buscaría ayuda después de intentar solo/a"
"$3,000 - $5,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)","Equipo limitado pero funcional, internet regular",4 personas,Son neutrales,Menos de 8.0,Regular (apruebo pero me cuesta trabajo),"No, pero me interesa y estoy dispuesto/a a aprender","Bueno, generalmente cumplo con mis responsabilidades",Reprobé 3 materias,"Regular, el estrés me afecta moderadamente",Casi no tengo apoyo,"Regular, me afecta pero eventualmente continúo",Responsabilidades mínimas/ocasionales,"Moderado, depende del día","Por influencia de familia/amigos o porque ""está de moda""",Poco informado/a,"Poco seguro/a, tengo dudas","Sí, tengo una segunda opción en mente","Poca claridad, estoy confundido/a",1.5 a 2 horas,Vespertino (me acomoda perfectamente),"Sí, los conozco bien y estoy dispuesto/a a usarlos","No es importante, no tengo prisa","Poco probable, prefiero resolver las cosas solo/a"
"$3,000 - $5,000 MXN",No trabajo ni planeo trabajar (dedicación exclusiva),No tengo equipo propio o internet confiable,4 personas,Son neutrales,9.0 - 9.4,Bajo (he reprobado o tenido problemas),"No, pero me interesa y estoy dispuesto/a a aprender","Irregular, procrastino frecuentemente",Nunca he reprobado,"Mal, frecuentemente me siento abrumado/a","Sí, pero limitado","Mal, me desanimo fácilmente",Responsabilidades moderadas,"Bajo, me cuesta motivarme",Tiene buena demanda laboral y salarios atractivos,Poco informado/a,"Inseguro/a, podría cambiar de opinión","Sí, tengo varias opciones y aún no decido","Poca claridad, estoy confundido/a",1.5 a 2 horas,Tengo preferencia pero puedo adaptarme,Conozco algunos,"No es importante, no tengo prisa","Tal vez, dependiendo de la situación"
"$3,000 - $5,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)",Comparto equipo o internet inestable,4 personas,Son neutrales,8.5 - 8.9,Regular (apruebo pero me cuesta trabajo),"No, pero me interesa y estoy dispuesto/a a aprender","Bueno, generalmente cumplo con mis responsabilidades",Reprobé 3 materias,"Bien, ocasionalmente me estreso pero lo controlo",Casi no tengo apoyo,"Bien, me recupero rápido y sigo intentando",Responsabilidades importantes que requieren tiempo,"Alto, tengo buena motivación",Tiene buena demanda laboral y salarios atractivos,Poco informado/a,"Inseguro/a, podría cambiar de opinión","Sí, tengo varias opciones y aún no decido","Algo de claridad, aún lo estoy definiendo",1.5 a 2 horas,Tengo restricciones importantes de horario por trabajo/familia,"Sí, los conozco y los usaría si los necesito",Moderadamente importante,"Probable, buscaría ayuda después de intentar solo/a"
"$10,000 - $20,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)","Equipo limitado pero funcional, internet regular",5 personas,No están completamente de acuerdo,9.5 - 10.0,Bueno (calificaciones altas consistentemente),"Sí, varios cursos y experiencia práctica","Bueno, generalmente cumplo con mis responsabilidades",Reprobé 1 materia,"Bien, ocasionalmente me estreso pero lo controlo","Sí, red de apoyo muy fuerte","Bien, me recupero rápido y sigo intentando",No tengo responsabilidades de cuidado,"Alto, tengo buena motivación",Me interesa mucho y veo gran futuro profesional,"Muy informado/a, investigué a fondo","Moderadamente seguro/a, creo que sí","No, esta es mi única opción y estoy comprometido/a","Algo de claridad, aún lo estoy definiendo",Menos de 30 minutos,Matutino (me acomoda perfectamente),"Sí, los conozco y los usaría si los necesito","Muy importante, es una prioridad","Probable, buscaría ayuda después de intentar solo/a"
"$10,000 - $20,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)","Equipo limitado pero funcional, internet regular",3 personas,"Sí, completamente y me apoyan en todo",9.0 - 9.4,Bajo (he reprobado o tenido problemas),"No, pero me interesa y estoy dispuesto/a a aprender","Regular, a veces me cuesta organizarme",Reprobé 2 materias,"Mal, frecuentemente me siento abrumado/a","Sí, pero limitado","Regular, me afecta pero eventualmente continúo",Responsabilidades mínimas/ocasionales,"Moderado, depende del día",Tiene buena demanda laboral y salarios atractivos,"Algo informado/a, tengo idea básica","Moderadamente seguro/a, creo que sí","No, pero estoy abierto/a a opciones futuras","Poca claridad, estoy confundido/a",1 a 1.5 horas,Tengo restricciones importantes de horario por trabajo/familia,"Sí, los conozco bien y estoy dispuesto/a a usarlos","Importante, lo prefiero pero puedo ser flexible","Poco probable, prefiero resolver las cosas solo/a"
"$5,000 - $10,000 MXN","No trabajo, pero podría si es necesario","Sí, laptop/PC propia y excelente internet",6 o más personas,"Sí, completamente y me apoyan en todo",9.5 - 10.0,Muy bajo (tengo dificultades significativas),"Sí, varios cursos y experiencia práctica","Irregular, procrastino frecuentemente",Nunca he reprobado,"Mal, frecuentemente me siento abrumado/a","Sí, red de apoyo muy fuerte","Mal, me desanimo fácilmente",No tengo responsabilidades de cuidado,"Bajo, me cuesta motivarme",No estoy completamente seguro/a de mi elección,"Muy informado/a, investigué a fondo","Inseguro/a, podría cambiar de opinión","No, esta es mi única opción y estoy comprometido/a",No tengo idea de qué haré,Menos de 30 minutos,Tengo restricciones importantes de horario por trabajo/familia,"Sí, los conozco bien y estoy dispuesto/a a usarlos","Poco importante, puedo tomarme más tiempo","Muy probable, buscaría ayuda inmediatamente"
"$5,000 - $10,000 MXN","Sí, trabajo tiempo completo y tengo otras responsabilidades",Comparto equipo o internet inestable,4 personas,Son neutrales,8.5 - 8.9,Regular (apruebo pero me cuesta trabajo),Solo introducción básica,"Irregular, procrastino frecuentemente",Reprobé 2 materias,"Mal, frecuentemente me siento abrumado/a",No tengo red de apoyo,"Muy mal, considero rendirme",Responsabilidades mínimas/ocasionales,"Moderado, depende del día",No estoy completamente seguro/a de mi elección,"Nada informado/a, estoy descubriendo la carrera","Muy seguro/a, coincide bastante","No, esta es mi única opción y estoy comprometido/a",No tengo idea de qué haré,1.5 a 2 horas,Tengo restricciones importantes de horario por trabajo/familia,"Sí, los conozco y los usaría si los necesito",Moderadamente importante,"Tal vez, dependiendo de la situación"
"$5,000 - $10,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)","Equipo limitado pero funcional, internet regular",5 personas,Son neutrales,8.5 - 8.9,Muy bajo (tengo dificultades significativas),Solo introducción básica,"Irregular, procrastino frecuentemente",Reprobé 3 materias,"Mal, frecuentemente me siento abrumado/a","Sí, pero limitado","Mal, me desanimo fácilmente",Responsabilidades importantes que requieren tiempo,"Bajo, me cuesta motivarme","Por influencia de familia/amigos o porque ""está de moda""",Poco informado/a,"Inseguro/a, podría cambiar de opinión","Sí, probablemente cambie de carrera","Poca claridad, estoy confundido/a",1.5 a 2 horas,Cualquier horario me funciona bien,No conozco ninguno,"Poco importante, puedo tomarme más tiempo","Tal vez, dependiendo de la situación"
"$3,000 - $5,000 MXN","No trabajo, pero podría si es necesario",No tengo equipo propio o internet confiable,4 personas,Se oponen o me presionan a trabajar,Menos de 8.0,Bajo (he reprobado o tenido problemas),"Sí, algunos cursos o conocimiento autodidacta","Excelente, muy disciplinado/a y organizado/a",Reprobé 2 materias,"Regular, el estrés me afecta moderadamente","Sí, pero limitado","Bien, me recupero rápido y sigo intentando",Responsabilidades importantes que requieren tiempo,"Bajo, me cuesta motivarme",Tiene buena demanda laboral y salarios atractivos,Poco informado/a,"Moderadamente seguro/a, creo que sí","Sí, tengo varias opciones y aún no decido","Poca claridad, estoy confundido/a",1.5 a 2 horas,Tengo preferencia pero puedo adaptarme,Conozco algunos,"Poco importante, puedo tomarme más tiempo","Poco probable, prefiero resolver las cosas solo/a"
"$3,000 - $5,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)",No tengo equipo propio o internet confiable,6 o más personas,No están completamente de acuerdo,Menos de 8.0,Bajo (he reprobado o tenido problemas),"No, pero me interesa y estoy dispuesto/a a aprender","Regular, a veces me cuesta organizarme",Reprobé 3 materias,"Mal, frecuentemente me siento abrumado/a",Casi no tengo apoyo,"Mal, me desanimo fácilmente",Soy el/la principal cuidador/a de dependientes,"Bajo, me cuesta motivarme",Tiene buena demanda laboral y salarios atractivos,"Nada informado/a, estoy descubriendo la carrera","Moderadamente seguro/a, creo que sí","Sí, tengo varias opciones y aún no decido","Poca claridad, estoy confundido/a",1 a 1.5 horas,Tengo preferencia pero puedo adaptarme,Conozco algunos,Moderadamente importante,"Muy poco probable, no me gusta pedir ayuda"
"$5,000 - $10,000 MXN","Sí, trabajo tiempo completo (más de 30 hrs/semana)",Comparto equipo o internet inestable,5 personas,No están completamente de acuerdo,8.5 - 8.9,Bajo (he reprobado o tenido problemas),"Sí, algunos cursos o conocimiento autodidacta","Bueno, generalmente cumplo con mis responsabilidades",Reprobé 2 materias,"Mal, frecuentemente me siento abrumado/a","Sí, tengo apoyo moderado","Mal, me desanimo fácilmente",Responsabilidades moderadas,"Bajo, me cuesta motivarme",Tiene buena demanda laboral y salarios atractivos,"Bien informado/a, conozco lo general","Poco seguro/a, tengo dudas","Sí, tengo una segunda opción en mente","Algo de claridad, aún lo estoy definiendo",1.5 a 2 horas,Cualquier horario me funciona bien,Conozco algunos,"Poco importante, puedo tomarme más tiempo","Tal vez, dependiendo de la situación"
"$5,000 - $10,000 MXN","Sí, trabajo tiempo completo (más de 30 hrs/semana)",Comparto equipo o internet inestable,5 personas,Son neutrales,Menos de 8.0,Bueno (calificaciones altas consistentemente),"No, pero me interesa y estoy dispuesto/a a aprender","Irregular, procrastino frecuentemente",Reprobé 2 materias,"Regular, el estrés me afecta moderadamente","Sí, tengo apoyo moderado","Regular, me afecta pero eventualmente continúo",Responsabilidades importantes que requieren tiempo,"Alto, tengo buena motivación","Por influencia de familia/amigos o porque ""está de moda""","Bien informado/a, conozco lo general","Poco seguro/a, tengo dudas","No, esta es mi única opción y estoy comprometido/a",No tengo idea de qué haré,30 minutos a 1 hora,Matutino (me acomoda perfectamente),Conozco algunos,"Muy importante, es una prioridad","Muy probable, buscaría ayuda inmediatamente"
"$3,000 - $5,000 MXN","Sí, trabajo tiempo completo y tengo otras responsabilidades","Equipo limitado pero funcional, internet regular",5 personas,Son neutrales,8.5 - 8.9,Regular (apruebo pero me cuesta trabajo),Solo introducción básica,"Regular, a veces me cuesta organizarme",Reprobé 2 materias,"Regular, el estrés me afecta moderadamente","Sí, tengo apoyo moderado","Regular, me afecta pero eventualmente continúo",Responsabilidades importantes que requieren tiempo,"Bajo, me cuesta motivarme",Tiene buena demanda laboral y salarios atractivos,"Algo informado/a, tengo idea básica","Muy seguro/a, coincide bastante","Sí, tengo una segunda opción en mente","Poca claridad, estoy confundido/a",1 a 1.5 horas,Vespertino (me acomoda perfectamente),Conozco algunos,Moderadamente importante,"Probable, buscaría ayuda después de intentar solo/a"
"$3,000 - $5,000 MXN","Sí, trabajo tiempo completo y tengo otras responsabilidades",No tengo equipo propio o internet confiable,4 personas,No están completamente de acuerdo,8.5 - 8.9,Muy bajo (tengo dificultades significativas),"No, y me preocupa aprender programación","Regular, a veces me cuesta organizarme",Reprobé 3 materias,"Mal, frecuentemente me siento abrumado/a",Casi no tengo apoyo,"Mal, me desanimo fácilmente",Responsabilidades importantes que requieren tiempo,"Bajo, me cuesta motivarme",Tiene buena demanda laboral y salarios atractivos,Poco informado/a,"Moderadamente seguro/a, creo que sí","No, esta es mi única opción y estoy comprometido/a","Algo de claridad, aún lo estoy definiendo",1.5 a 2 horas,Tengo preferencia pero puedo adaptarme,"Sí, los conozco bien y estoy dispuesto/a a usarlos","Importante, lo prefiero pero puedo ser flexible","Poco probable, prefiero resolver las cosas solo/a"
"$3,000 - $5,000 MXN","Sí, trabajo tiempo completo y tengo otras responsabilidades",Comparto equipo o internet inestable,4 personas,"Sí, me apoyan emocionalmente",Menos de 8.0,Muy bajo (tengo dificultades significativas),"No, y me preocupa aprender programación","Malo, me cuesta mucho mantener constancia",Reprobé 2 materias,"Bien, ocasionalmente me estreso pero lo controlo","Sí, pero limitado","Mal, me desanimo fácilmente",Soy el/la principal cuidador/a de dependientes,"Moderado, depende del día","Por influencia de familia/amigos o porque ""está de moda""","Bien informado/a, conozco lo general","Poco seguro/a, tengo dudas","Sí, tengo una segunda opción en mente",No tengo idea de qué haré,1 a 1.5 horas,Vespertino (me acomoda perfectamente),Conozco algunos,"Poco importante, puedo tomarme más tiempo","Tal vez, dependiendo de la situación"
"$5,000 - $10,000 MXN","Sí, trabajo medio tiempo (menos de 20 hrs/semana)",Comparto equipo o internet inestable,4 personas,Son neutrales,8.5 - 8.9,Bajo (he reprobado o tenido problemas),Solo introducción básica,"Regular, a veces me cuesta organizarme",Reprobé 2 materias,"Regular, el estrés me afecta moderadamente","Sí, pero limitado","Mal, me desanimo fácilmente",Responsabilidades moderadas,"Moderado, depende del día",Tiene buena demanda laboral y salarios atractivos,Poco informado/a,"Moderadamente seguro/a, creo que sí","Sí, tengo una segunda opción en mente","Poca claridad, estoy confundido/a",1 a 1.5 horas,Vespertino (me acomoda perfectamente),Conozco algunos,"Importante, lo prefiero pero puedo ser flexible","Tal vez, dependiendo de la situación"
"$5,000 - $10,000 MXN","Sí, trabajo tiempo completo (más de 30 hrs/semana)",No tengo equipo propio o internet confiable,6 o más personas,Son neutrales,8.5 - 8.9,Regular (apruebo pero me cuesta trabajo),"No, pero me interesa y estoy dispuesto/a a aprender","Irregular, procrastino frecuentemente",Reprobé 2 materias,"Mal, frecuentemente me siento abrumado/a","Sí, red de apoyo muy fuerte","Muy mal, considero rendirme",Responsabilidades moderadas,"Muy alto, soy muy proactivo/a y energético/a",Me interesa mucho y veo gran futuro profesional,"Nada informado/a, estoy descubriendo la carrera","Totalmente seguro/a, es perfecta para mí","Sí, tengo una segunda opción en mente",No tengo idea de qué haré,Más de 2 horas,Tengo preferencia pero puedo adaptarme,"Sí, los conozco y los usaría si los necesito",Moderadamente importante,"Poco probable, prefiero resolver las cosas solo/a"
